temps;charge
28;0.88
692;3.13
1340;5.57
2032;8.11
2728;10.56
3468;13.20
4212;15.64
4948;17.99
5688;20.33
6436;22.58
7176;24.73
7916;26.78
8660;28.93
9412;30.89
10156;32.84
10952;34.80
11744;36.75
12536;38.71
13328;40.47
14120;42.23
15188;44.57
16292;46.82
17396;48.88
18500;51.03
19608;53.08
20712;54.84
21816;56.70
22920;58.46
24028;60.12
25132;61.78
26236;63.34
27340;64.71
28448;66.18
29552;67.55
30656;68.91
31760;70.19
32868;71.36
33976;72.43
35076;73.51
36180;74.58
37288;75.56
38392;76.54
39496;77.52
40600;78.40
41708;79.18
42812;80.06
43916;80.74
45020;81.52
46128;82.31
47232;82.99
48340;83.58
49440;84.26
50544;84.85
51652;85.43
52756;85.92
53860;86.51
54968;87.00
56072;87.49
57176;87.98
58280;88.47
59388;88.86
60492;89.25
61596;89.64
62700;90.13
63808;90.42
64912;90.81
66020;91.20
67124;91.50
68228;91.79
69332;92.18
70440;92.38
71544;92.77
72648;92.96
73752;93.26
74860;93.45
75968;93.65
77068;93.94
78172;94.13
79280;94.33
80384;94.53
81488;94.72
82592;94.92
83700;95.11
84804;95.31
85908;95.50
87012;95.60
88120;95.80
89224;95.99
90328;96.09
91432;96.19
92540;96.38
93644;96.48
94748;96.58
95852;96.68
96960;96.77
98064;96.87
99168;96.97
100272;97.07
101464;97.17
102652;97.26
103844;97.46
105032;97.46
106224;97.56
107412;97.65
108604;97.75
109792;97.85
110984;97.95
112172;97.95
113364;98.04
114552;98.04
115744;98.14
116940;98.24
118124;98.24
119312;98.34
120504;98.34
121692;98.44
122884;98.53
124072;98.53
125264;98.53
126452;98.63
127644;98.63
128832;98.73
130024;98.73
131212;98.83
132404;98.63
133592;98.73
134784;98.73
135972;98.73
137164;98.73
138352;98.83
139544;98.83
140732;98.92
141924;98.92
143112;98.92
144304;99.02
145492;99.12
146684;99.02
147872;99.12
149064;99.12
150252;99.22
151444;99.22
152632;99.12
153824;99.12
155012;99.22
156204;99.32
157392;99.32
158584;99.22
159772;99.22
160968;99.32
162152;99.22
163344;99.32
164532;99.32
165724;99.41
166912;99.41
168104;99.51
169292;99.41
170484;99.51
171672;99.51
172864;99.41
174052;99.41
175244;99.41
176432;99.41
177624;99.41
178812;99.51
180004;99.41
181192;99.51
182384;99.51
183572;99.51
184764;99.51
185952;99.61
187144;99.61
188332;99.61
189524;99.61
190712;99.61
191904;99.61
193092;99.51
194284;99.61
195472;99.51
196664;99.61
197852;99.61
199044;99.61
200232;99.61
201424;99.51
202612;99.61
203804;99.61
205000;99.61
206184;99.61
207372;99.71
208564;99.61
209752;99.61
210944;99.61
212132;99.61
213324;99.61
214512;99.61
215704;99.61
216892;99.71
218084;99.71
219272;99.71
220464;99.61
221652;99.71
222844;99.71
224032;99.61
225224;99.71
226412;99.71
227604;99.80
228792;99.71
229984;99.71
231172;99.71
232364;99.71
233552;99.71
234744;99.61
235932;99.71
237124;99.80
238312;99.71
239504;99.61
240692;99.71
241884;99.71
243072;99.71
244264;99.71
245452;99.71
246644;99.71
247832;99.80
249028;99.71
250212;99.71
251404;99.71
252592;99.71
253784;99.71
254972;99.61
256164;99.71
257352;99.71
258544;99.61
259732;99.71
260924;99.71
262112;99.71
263304;99.71
264492;99.80
265684;99.80
266872;99.80
268064;99.80
269252;99.71
