temps;charge
24;96.97
748;94.62
1452;92.08
2184;89.74
2932;87.19
3676;84.75
4428;82.60
5164;80.35
5916;78.20
6668;76.15
7408;74.10
8144;72.14
8892;70.09
9640;68.33
10376;66.57
11168;64.61
11964;62.85
12764;61.09
13548;59.34
14420;57.48
15524;55.23
16628;53.08
17736;51.03
18840;49.07
19944;47.12
21048;45.36
22156;43.60
23260;41.94
24364;40.37
25468;38.81
26576;37.34
27680;35.87
28784;34.60
29888;33.24
30996;31.87
32100;30.69
33204;29.52
34308;28.45
35416;27.37
36520;26.30
37624;25.32
38728;24.34
39836;23.46
40940;22.58
42044;21.80
43148;20.92
44252;20.14
45364;19.45
46464;18.67
47568;18.08
48672;17.30
49780;16.72
50884;16.03
51988;15.44
53096;14.86
54200;14.37
55304;13.78
56408;13.29
57516;12.81
58620;12.32
59724;11.93
60828;11.44
61932;11.14
63040;10.65
64144;10.26
65248;9.97
66272;9.48
67292;9.29
68312;8.90
69332;8.70
70352;8.31
71372;8.11
72392;7.82
73412;7.62
74432;7.23
75452;7.14
76472;6.84
77492;6.65
78512;6.45
79532;6.26
80552;5.96
81572;5.87
82592;5.47
83612;5.47
84632;5.28
85652;5.08
86672;4.89
87692;4.79
88712;4.59
89732;4.50
90752;4.30
91772;4.20
92792;4.01
93812;3.91
94832;3.81
95852;3.71
96872;3.52
97892;3.52
98912;3.32
99932;3.23
100952;3.13
102056;3.03
103160;2.93
104268;2.74
105372;2.64
106476;2.64
107580;2.54
108688;2.44
109792;2.35
110904;2.35
112000;2.15
113108;2.15
114212;2.05
115316;2.05
116420;1.86
117528;1.86
118632;1.76
119736;1.76
120840;1.66
121948;1.56
123052;1.56
124156;1.56
125260;1.47
126368;1.37
127472;1.37
128576;1.27
129680;1.27
130788;1.27
131892;1.27
132996;1.17
134100;1.17
135208;1.08
136312;0.98
137416;1.08
138520;0.98
139624;0.98
140732;0.98
141836;0.98
142940;0.88
144048;0.78
145152;0.78
146256;0.78
147360;0.88
148464;0.78
149572;0.68
150676;0.68
151780;0.68
152892;0.59
153992;0.59
155096;0.59
156200;0.59
157304;0.59
158412;0.49
159516;0.49
160620;0.49
161724;0.49
162832;0.49
163936;0.49
165040;0.49
166144;0.39
167252;0.49
168356;0.39
169460;0.39
170568;0.39
171672;0.39
172776;0.39
173880;0.29
174984;0.39
176092;0.29
177196;0.29
178300;0.29
179408;0.29
180516;0.39
181616;0.29
182720;0.29
183824;0.29
184932;0.20
186036;0.20
187140;0.20
188244;0.29
189352;0.20
190456;0.20
191560;0.20
192668;0.20
193772;0.20
194884;0.20
195980;0.20
197084;0.20
198192;0.10
199296;0.20
200400;0.20
201508;0.20
202612;0.20
203716;0.20
204820;0.10
205924;0.10
207032;0.10
208136;0.10
209240;0.20
210344;0.10
211452;0.10
212556;0.10
213660;0.00
214764;0.10
215872;0.00
216976;0.10
218080;0.10
219184;0.10
220292;0.10
221396;0.10
222508;0.10
223604;0.10
224712;0.00
225816;0.10
226920;0.10
228024;0.10
229132;0.10
230236;0.10
231340;0.00
232444;0.00
233552;0.00
234656;0.10
235760;0.00
236868;0.10
237972;0.10
239076;0.00
240180;0.00
241284;0.00
242392;0.00
243496;0.00
244600;0.10
245704;0.00
246812;0.00
247916;0.00
249020;0.00
250128;0.00
251232;0.00
252336;0.00
253440;0.00
254544;0.10
255652;0.00
256756;0.00
257860;0.00
258968;0.00
260072;0.00
261176;0.00
262280;0.00
263384;0.00
264496;0.00
265596;0.00
266700;0.00
267804;0.00
268912;0.00
270016;0.00
